ReportID,SalesPersonID,ProductID,Quantity,TotalSalesValue,Country,CustomerID
Rep70101,C21844,PR6483,102,1115,Namibia,1
Rep70102,C21844,PR6251,102,1050,Iceland,2
Rep70103,C21844,PR6253,344,3490,Russia,3
Rep70104,C21844,PR6378,108,1095,Moldova ,4
Rep70105,C21844,PR6463,146,1055,Malta,5
Rep70106,C21844,PR6112,238,1495,Indonesia,6
Rep70107,C21844,PR6463,177,1090,Djibouti,7
Rep70108,C21844,PR6378,108,1095,Greece,8
Rep70109,C21844,PR6253,107,1015,Cameroon,9
Rep70110,C21844,PR6458,100,1040,Nigeria,10
Rep70111,C21844,PR6458,100,1040,Senegal,11
Rep70112,C21844,PR6463,177,1090,Afghanistan,12
Rep70113,C21844,PR6483,102,1115,India,13
Rep70114,C21844,PR6112,238,1495,Lebanon,14
Rep70115,C21844,PR6378,108,1095,Turkey,15
Rep70116,C21844,PR6320,153,5020,Iraq,16
Rep70117,C21844,PR6112,238,1495,Rwanda,17
Rep70118,C21844,PR6378,108,1095,Ukraine,18
Rep70119,C21844,PR6112,238,1495,Finland,19
Rep70120,C21844,PR6463,102,1030,South Sudan,20
Rep70121,C21844,PR6483,102,1115,Antigua and Barbuda ,21
Rep70122,C21844,PR6320,250,2625,Kuwait,22
Rep70123,C21844,PR6251,102,1050,United Kingdom,23
Rep70124,C21844,PR6251,102,1050,Saint Kitts and Nevis ,24
Rep70125,C21844,PR6320,186,1975,Antigua and Barbuda ,25
Rep70126,C21844,PR6483,102,1115,Saint Lucia,26
Rep70127,C21844,PR6458,100,1040,Kuwait,27
Rep70128,C21844,PR6463,177,1090,South Sudan,28
Rep70129,C21844,PR6458,100,1040,Tunisia ,29
Rep70130,C21844,PR6251,102,1050,Yemen,30
Rep70131,C21840,PR6115,544,2325,Guinea,31
Rep70132,C21840,PR6115,344,2060,Tuvalu,32
Rep70133,C21840,PR6632,144,1140,South Korea,33
Rep70134,C21840,PR6115,344,2060,San Marino,34
Rep70135,C21840,PR6124,377,4625,Trinidad and Tobago,35
Rep70136,C21840,PR6231,303,2810,Kosovo,36
Rep70137,C21840,PR6231,2322,11845,Hungary,37
Rep70138,C21840,PR6238,100,1055,Botswana,38
Rep70139,C21840,PR6119,5491,46910,Turkey,39
Rep70140,C21840,PR6230,106,1065,Serbia,40
Rep70141,C21840,PR6120,1955,12445,Guatemala,41
Rep70142,C21840,PR6231,368,1760,United Arab Emirates,42
Rep70143,C21840,PR6230,791,6870,Samoa ,43
Rep70144,C21840,PR6231,1433,8590,Botswana,44
Rep70145,C21840,PR6124,377,4625,Bahrain,45
Rep70146,C21840,PR6115,4633,24270,Saint Vincent and the Grenadines,46
Rep70147,C21840,PR6119,211,1555,Pakistan,47
Rep70148,C21840,PR6124,377,4625,Hungary,48
Rep70149,C21840,PR6248,102,1260,Poland,49
Rep70150,C21840,PR6633,367,10090,Tunisia ,50
Rep70151,C21840,PR6120,961,4060,Lithuania,51
Rep70152,C21840,PR6120,3822,17625,Samoa ,52
Rep70153,C21840,PR6124,377,4625,Sudan,53
Rep70154,C21840,PR6120,655,3025,Portugal,54
Rep70155,C21840,PR6120,3816,20740,Fiji,55
Rep70156,C21840,PR6115,16522,102430,Tanzania,56
Rep70157,C21840,PR6241,170,1120,Sao Tome and Principe,57
Rep70158,C21840,PR6165,111,1120,Cape Verde,58
Rep70159,C21840,PR6633,143,9835,Lebanon,59
Rep70160,C21840,PR6241,332,1750,Greenland,60
Rep70161,C21840,PR6120,1766,8380,Guinea-Bissau,61
Rep70162,C21840,PR6119,750,4050,Georgia,62
Rep70163,C21840,PR6115,8308,48705,Jamaica,63
