InvoiceNo,StockCode,Description,Quantity,UnitPrice,CustomerID,Country,CustomerID
536365,71053,WHITE METAL LANTERN,6,3.39,17850,United Kingdom,1
536365,22752,SET 7 BABUSHKA NESTING BOXES,2,7.65,17850,United Kingdom,2
536365,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,4.25,17850,United Kingdom,3
536366,22633,HAND WARMER UNION JACK,6,1.85,17850,United Kingdom,4
536366,22632,HAND WARMER RED POLKA DOT,6,1.85,17850,United Kingdom,5
536367,84879,ASSORTED COLOUR BIRD ORNAMENT,32,1.69,13047,United Kingdom,6
536367,22745,POPPY'S PLAYHOUSE BEDROOM ,6,2.1,13047,United Kingdom,7
536367,22748,POPPY'S PLAYHOUSE KITCHEN,6,2.1,13047,United Kingdom,8
536367,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,8,3.75,13047,United Kingdom,9
536367,22310,IVORY KNITTED MUG COSY ,6,1.65,13047,United Kingdom,10
536367,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,6,4.25,13047,United Kingdom,11
536367,22623,BOX OF VINTAGE JIGSAW BLOCKS ,3,4.95,13047,United Kingdom,12
536367,22622,BOX OF VINTAGE ALPHABET BLOCKS,2,9.95,13047,United Kingdom,13
536367,21754,HOME BUILDING BLOCK WORD,3,5.95,13047,United Kingdom,14
536367,21755,LOVE BUILDING BLOCK WORD,3,5.95,13047,United Kingdom,15
536367,21777,RECIPE BOX WITH METAL HEART,4,7.95,13047,United Kingdom,16
536367,48187,DOORMAT NEW ENGLAND,4,7.95,13047,United Kingdom,17
536368,22960,JAM MAKING SET WITH JARS,6,4.25,13047,United Kingdom,18
536368,22913,RED COAT RACK PARIS FASHION,3,4.95,13047,United Kingdom,19
536368,22912,YELLOW COAT RACK PARIS FASHION,3,4.95,13047,United Kingdom,20
536368,22914,BLUE COAT RACK PARIS FASHION,3,4.95,13047,United Kingdom,21
536369,21756,BATH BUILDING BLOCK WORD,3,5.95,13047,United Kingdom,22
536370,22728,ALARM CLOCK BAKELIKE PINK,24,3.75,12583,France,23
536370,22727,ALARM CLOCK BAKELIKE RED ,24,3.75,12583,France,24
536370,22726,ALARM CLOCK BAKELIKE GREEN,12,3.75,12583,France,25
536370,21724,PANDA AND BUNNIES STICKER SHEET,12,0.85,12583,France,26
536370,21883,STARS GIFT TAPE ,24,0.65,12583,France,27
536370,10002,INFLATABLE POLITICAL GLOBE ,48,0.85,12583,France,28
536370,21791,VINTAGE HEADS AND TAILS CARD GAME ,24,1.25,12583,France,29
536370,21035,SET/2 RED RETROSPOT TEA TOWELS ,18,2.95,12583,France,30
536370,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,24,2.95,12583,France,31
536370,22629,SPACEBOY LUNCH BOX ,24,1.95,12583,France,32
536370,22659,LUNCH BOX I LOVE LONDON,24,1.95,12583,France,33
536370,22631,CIRCUS PARADE LUNCH BOX ,24,1.95,12583,France,34
536370,22661,CHARLOTTE BAG DOLLY GIRL DESIGN,20,0.85,12583,France,35
536370,21731,RED TOADSTOOL LED NIGHT LIGHT,24,1.65,12583,France,36
536370,22900, SET 2 TEA TOWELS I LOVE LONDON ,24,2.95,12583,France,37
536370,21913,VINTAGE SEASIDE JIGSAW PUZZLES,12,3.75,12583,France,38
536370,22540,MINI JIGSAW CIRCUS PARADE ,24,0.42,12583,France,39
536381,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,10,1.95,15311,United Kingdom,40
536381,82567,"AIRLINE LOUNGE,METAL SIGN",2,2.1,15311,United Kingdom,41
536381,21672,WHITE SPOT RED CERAMIC DRAWER KNOB,6,1.25,15311,United Kingdom,42
536381,22774,RED DRAWER KNOB ACRYLIC EDWARDIAN,24,1.25,15311,United Kingdom,43
536381,22771,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,24,1.25,15311,United Kingdom,44
536381,71270,PHOTO CLIP LINE,1,1.25,15311,United Kingdom,45
536381,22262,FELT EGG COSY CHICKEN,1,0.85,15311,United Kingdom,46
536381,22637,PIGGY BANK RETROSPOT ,1,2.55,15311,United Kingdom,47
536381,21934,SKULL SHOULDER BAG,10,1.65,15311,United Kingdom,48
536381,21169,YOU'RE CONFUSING ME METAL SIGN ,3,1.69,15311,United Kingdom,49
536381,21166,COOK WITH WINE METAL SIGN ,1,1.95,15311,United Kingdom,50
536381,21175,GIN + TONIC DIET METAL SIGN,2,2.1,15311,United Kingdom,51
536381,22646,CERAMIC STRAWBERRY CAKE MONEY BANK,4,1.45,15311,United Kingdom,52
536381,22176,BLUE OWL SOFT TOY,1,2.95,15311,United Kingdom,53
536381,22438,BALLOON ART MAKE YOUR OWN FLOWERS,1,1.95,15311,United Kingdom,54
536381,21731,RED TOADSTOOL LED NIGHT LIGHT,2,1.65,15311,United Kingdom,55
536381,22778,GLASS CLOCHE SMALL,3,3.95,15311,United Kingdom,56
536381,22719,GUMBALL MONOCHROME COAT RACK,36,1.06,15311,United Kingdom,57
536381,21523,DOORMAT FANCY FONT HOME SWEET HOME,10,6.75,15311,United Kingdom,58
536382,10002,INFLATABLE POLITICAL GLOBE ,12,0.85,16098,United Kingdom,59
536382,21912,VINTAGE SNAKES & LADDERS,8,3.75,16098,United Kingdom,60
536382,21832,CHOCOLATE CALCULATOR,12,1.65,16098,United Kingdom,61
536382,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,10,1.95,16098,United Kingdom,62
536382,22379,RECYCLING BAG RETROSPOT ,10,2.1,16098,United Kingdom,63
536382,22381,TOY TIDY PINK POLKADOT,50,1.85,16098,United Kingdom,64
